City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Los Llanos De Aridane,ES,69.55,drizzle,28.6585,-17.9182,Valle Aridane
199,Ignacio De La Llave,MX,88.61,overcast clouds,18.7167,-95.9833,Hotel Valeria
200,Mount Isa,AU,69.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
202,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
206,Hami,CN,74.05,overcast clouds,42.8,93.45,Laoyutang Resort
208,Cape Town,ZA,67.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
210,Praia Da Vitoria,PT,76.75,broken clouds,38.7333,-27.0667,Hotel Branco I
213,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
215,Pontian Kecil,MY,75.52,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
217,Moncao,PT,73.53,overcast clouds,42.0789,-8.4808,Hotel Bienestar Termas de Monção
218,Zihuatanejo,MX,89.69,broken clouds,17.6333,-101.55,La Casa Que Canta
219,Souillac,MU,64.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
220,Sao Joao Da Barra,BR,71.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
221,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
222,Kalmunai,LK,77.16,moderate rain,7.4167,81.8167,VS Villa
223,Morant Bay,JM,89.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
224,Aklavik,CA,62.98,clear sky,68.2191,-135.0107,Aklavik Inn
226,Korla,CN,72.81,clear sky,41.7597,86.1469,Gulisitan Hotel
227,La Cruz,MX,84.87,overcast clouds,23.9167,-106.9,Jesús angel
228,Ixtapa,MX,89.22,broken clouds,20.7,-105.2,hotel la terminal
231,Asyut,EG,87.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
233,Aubenas,FR,75.45,broken clouds,44.6201,4.3899,ibis Aubenas
234,Pankrushikha,RU,63.19,scattered clouds,53.8319,80.3406,"Гостиница ""Уют"""
236,Semme,FR,73.81,overcast clouds,46.1963,1.5007,Inter-Hotel Alexia
237,Bouar,CF,66.49,moderate rain,5.934,15.596,Motel de l'UNITE
241,Tura,IN,74.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
242,Burns Lake,CA,67.42,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
244,Bonavista,CA,70.18,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
245,Kalispell,US,83.37,clear sky,48.1958,-114.3129,Red Lion Hotel Kalispell
246,Hervey Bay,AU,62.49,few clouds,-25.2986,152.8535,Shelly Bay Resort
248,Athabasca,CA,81.01,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
251,Fort Nelson,CA,62.19,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
252,Nong Khae,TH,81.01,overcast clouds,14.3406,100.8673,ถึงฝัน อพาร์ทเทล
254,Kitui,KE,66.58,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
255,Samarai,PG,79.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
256,Kushima,JP,80.04,scattered clouds,31.4583,131.2333,Hanaoka
260,Shimoda,JP,79.07,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
261,Tacoronte,ES,73.35,fog,28.4769,-16.4102,Casa Laurel
262,Bethel,US,84.88,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
263,Oktyabrskiy,RU,71.83,broken clouds,54.4815,53.471,Гостиница Октябрьская
264,Road Town,VG,87.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
265,Pengcheng,CN,70.36,clear sky,36.4311,114.17,Fengfeng Dianchang Hotel
266,Sinnamary,GF,82.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
267,Prabumulih,ID,73.35,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
271,Sao Filipe,CV,78.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
273,Cody,US,89.65,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
274,Port Hedland,AU,64.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
276,Hasaki,JP,79.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
277,Abha,SA,73.22,clear sky,18.2164,42.5053,Abha Hotel
278,Sur,OM,85.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
283,Lethem,GY,84.67,overcast clouds,3.3803,-59.7968,Savannah Inn
284,Harper,LR,75.33,moderate rain,4.375,-7.7169,Screensaver
285,Lazaro Cardenas,MX,86.47,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
288,Kismayo,SO,75.22,broken clouds,-0.3582,42.5454,Agan-Hotel
290,Haag,NL,69.75,clear sky,52.0767,4.2986,Hilton The Hague
291,Fairbanks,US,61.09,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
292,Batticaloa,LK,76.68,heavy intensity rain,7.7102,81.6924,Grand Star Guest House
293,Grand-Lahou,CI,74.53,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
295,Husavik,IS,60.12,overcast clouds,66.0449,-17.3389,Bjarnabúð
296,Ohara,JP,79.95,few clouds,35.25,140.3833,Sakigake
297,Mackay,AU,65.68,broken clouds,-21.15,149.2,International Lodge Motel
301,Muros,ES,68.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
302,Pihani,IN,83.68,overcast clouds,27.6333,80.2,Tazmirul Hasan PWD
303,Loandjili,CG,74.19,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
310,Bay Roberts,CA,80.65,clear sky,47.5999,-53.2648,Stonewall Inn
313,Karratha,AU,69.76,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
314,Yeppoon,AU,62.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
317,Vallenar,CL,66.04,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
318,Maku,IR,79.41,clear sky,39.2911,44.4521,Maku Tourist Hotel
319,Llanes,ES,68.45,overcast clouds,43.4198,-4.7549,Hotel La Paz
320,Chulym,RU,62.6,broken clouds,55.0997,80.9572,"""U Tat'yany"""
321,Kalaleh,IR,80.96,clear sky,37.3807,55.4916,کلاله
323,Saint Anthony,US,89.82,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
324,Lorengau,PG,80.78,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
325,Skeldon,GY,87.06,overcast clouds,5.8833,-57.1333,Classic International Hotel & Suites
327,Karaton,ID,74.39,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
332,Marsaxlokk,MT,82.08,clear sky,35.8419,14.5431,Water's Edge
333,Faanui,PF,78.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
334,Rio Grande,BR,69.91,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
335,Kenora,CA,70.77,few clouds,49.8167,-94.4337,Maynard Lake Lodge
336,Japura,ID,74.14,broken clouds,-0.3167,102.35,Rumah mbah Jamah
339,Bonthe,SL,77.76,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
345,Idenao,CM,75.4,overcast clouds,4.2475,9.0047,Moland Beach Resort
347,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
348,Meadow Lake,US,86.31,clear sky,34.8014,-106.5436,TumbleWeed RV Park
349,Puerto Narino,CO,84.45,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
350,Griffith,US,86.11,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
354,Lanzhou,CN,62.67,broken clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
355,Alamosa,US,78.75,clear sky,37.4695,-105.87,Best Western Alamosa Inn
356,Necochea,AR,64.4,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
357,Honiara,SB,75.61,overcast clouds,-9.4333,159.95,Heritage Park Hotel
363,Areosa,PT,64.8,overcast clouds,41.7178,-8.8571,Hotel Flôr de Sal
364,Mweka,CD,77.63,overcast clouds,-4.85,21.5667,Guest House Boshab
365,Fortuna,US,61.72,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
366,Bintulu,MY,73.81,few clouds,3.1667,113.0333,900 Boutique INN
367,Barranca,PE,65.52,clear sky,-10.75,-77.7667,El Olivar Hospedaje
370,Aranda De Duero,ES,72.57,clear sky,41.6704,-3.6892,Hotel Villa de Aranda
371,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
372,Samur,RU,79.05,clear sky,41.8253,48.486,Samur
374,Cururupu,BR,84.07,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
375,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
378,Takoradi,GH,74.44,scattered clouds,4.8845,-1.7554,Raybow International Hotel
379,Skibbereen,IE,64.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
380,Niono,ML,81.09,broken clouds,14.2526,-5.993,Hôtel Campement
381,Tukrah,LY,80.33,clear sky,32.5341,20.5791,Lagrota restaurant
382,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
383,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
384,Balkhash,KZ,72.93,clear sky,46.844,74.9804,Family
386,Faya,SA,73.51,few clouds,18.3851,42.4509,املاك خالد الشعشوع
389,Kencong,ID,73.63,broken clouds,-8.2833,113.3667,GUBUK SUGIANTO
394,Qui Nhon,VN,78.57,clear sky,13.7667,109.2333,Seagull Hotel
395,Norman Wells,CA,64.44,broken clouds,65.282,-126.8329,Heritage Hotel
397,West Bay,KY,89.08,broken clouds,19.3667,-81.4167,Calypso Cove
399,Alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
400,Banjar,ID,74.7,overcast clouds,-8.19,114.9675,The Hamsa Resort
401,Rawson,AR,61.41,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
402,Chaman,PK,78.73,clear sky,30.9236,66.4512,Niamat parda Center chaman
404,Cao Bang,VN,74.91,overcast clouds,22.6667,106.25,khách sạn 88
406,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
407,Manono,CD,78.03,scattered clouds,-7.3,27.4167,Hotel hewa bora
408,Pacifica,US,80.83,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
409,Monte Patria,CL,62.58,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
410,Marzuq,YE,78.49,clear sky,14.4,46.4667,حيد القفلة
411,Matara,LK,76.28,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
412,Lindi,TZ,73.31,overcast clouds,-10.0,39.7167,Lindi paradise house
413,San Isidro,PE,62.19,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
415,Rosetta,EG,78.78,clear sky,31.4044,30.4164,Green Valley
417,Baft,IR,67.44,scattered clouds,29.234,56.6057,Paeez Hotel & restaurant
421,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
426,Lisakovsk,KZ,71.83,few clouds,52.5369,62.4936,Gostinitsa Lisakovsk
427,Bac Lieu,VN,80.64,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
428,Margate,GB,66.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
430,Bubaque,GW,79.99,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
431,Portland,US,87.94,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
433,Anna,RU,65.43,scattered clouds,51.4842,40.4299,Uluchshennyye Apartamenty
435,Medina Del Campo,ES,77.65,clear sky,41.3124,-4.9141,Hotel Villa de Ferias
437,Kavieng,PG,82.49,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
440,Monte Santo,BR,70.92,overcast clouds,-10.4378,-39.3328,Pousada Pingo D'Água
441,Paciran,ID,77.45,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
442,Zhangye,CN,66.0,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
443,Bud,US,83.48,clear sky,39.447,-86.1758,Ted McQuinn Trust
448,Canatlan,MX,71.69,overcast clouds,24.5167,-104.7833,AUTOLAVADO El Negro
450,Trinidad,BO,89.58,smoke,-14.8333,-64.9,Hotel Piesta
