City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Winnemucca,US,40.973,-117.7357,93.2,13,0,8.48,clear sky
280,Ronneby,SE,56.21,15.276,57.7,82,100,2.3,overcast clouds
281,Yulara,AU,-25.2406,130.9889,54.25,88,100,5.26,light rain
282,Mount Gambier,AU,-37.8333,140.7667,47.34,76,100,5.12,overcast clouds
283,Lethem,GY,3.3803,-59.7968,84.67,66,86,2.28,overcast clouds
284,Harper,LR,4.375,-7.7169,75.33,91,100,11.65,moderate rain
285,Lazaro Cardenas,MX,17.9583,-102.2,86.47,65,94,10.31,overcast clouds
286,Havoysund,NO,70.9963,24.6622,44.83,75,100,11.48,light rain
287,Taga,RO,46.95,24.05,63.32,86,62,2.44,broken clouds
288,Kismayo,SO,-0.3582,42.5454,75.22,79,55,15.57,broken clouds
289,Makungu,TZ,-8.7333,35.2833,59.16,78,10,2.42,clear sky
290,Haag,NL,52.0767,4.2986,69.75,63,4,11.5,clear sky
291,Fairbanks,US,64.8378,-147.7164,61.09,64,100,9.22,overcast clouds
292,Batticaloa,LK,7.7102,81.6924,76.68,92,100,6.22,heavy intensity rain
293,Grand-Lahou,CI,5.1367,-5.0242,74.53,90,71,11.03,moderate rain
294,Maltahohe,NA,-24.8333,16.9833,68.95,24,100,5.44,overcast clouds
295,Husavik,IS,66.0449,-17.3389,60.12,63,97,22.28,overcast clouds
296,Ohara,JP,35.25,140.3833,79.95,89,20,16.37,few clouds
297,Mackay,AU,-21.15,149.2,65.68,91,66,11.86,broken clouds
298,Luderitz,NA,-26.6481,15.1594,57.16,83,5,5.17,clear sky
299,Cooma,AU,-36.2333,149.1333,39.38,97,19,3.94,few clouds
300,Williston,US,48.147,-103.618,90.81,27,1,3.0,clear sky
301,Muros,ES,42.7762,-9.0603,68.68,84,62,1.79,broken clouds
302,Pihani,IN,27.6333,80.2,83.68,72,100,4.68,overcast clouds
303,Loandjili,CG,-4.7561,11.8578,74.19,85,100,10.38,overcast clouds
304,Brae,GB,60.3964,-1.353,53.53,74,94,3.74,overcast clouds
305,Leningradskiy,RU,69.3833,178.4167,33.17,99,100,12.64,snow
306,Kulykivka,UA,51.3735,31.6466,56.46,75,3,7.61,clear sky
307,Riyadh,SA,24.6877,46.7219,91.54,16,100,9.93,overcast clouds
308,Kholodnyy,RU,62.7167,147.95,45.09,83,98,5.06,overcast clouds
309,Oranjestad,AW,12.524,-70.027,91.35,52,20,20.71,few clouds
310,Bay Roberts,CA,47.5999,-53.2648,80.65,67,9,7.0,clear sky
311,Idritsa,RU,56.3316,28.8988,49.71,78,99,7.02,overcast clouds
312,Sandovo,RU,58.4602,36.4128,46.71,85,100,12.75,overcast clouds
313,Karratha,AU,-20.7377,116.8463,69.76,54,31,3.11,scattered clouds
314,Yeppoon,AU,-23.1333,150.7333,62.38,94,87,9.69,overcast clouds
315,Mitu,CO,1.1983,-70.1733,86.29,57,57,3.38,broken clouds
316,Vostok,RU,46.4856,135.8833,49.73,95,0,4.38,clear sky
317,Vallenar,CL,-28.5708,-70.7581,66.04,38,1,9.08,clear sky
318,Maku,IR,39.2911,44.4521,79.41,15,0,0.0,clear sky
319,Llanes,ES,43.4198,-4.7549,68.45,85,88,1.5,overcast clouds
320,Chulym,RU,55.0997,80.9572,62.6,58,58,7.74,broken clouds
321,Kalaleh,IR,37.3807,55.4916,80.96,26,0,3.24,clear sky
322,Chapais,CA,49.7834,-74.8492,56.98,71,100,8.93,overcast clouds
323,Saint Anthony,US,45.0205,-93.218,89.82,41,0,11.5,clear sky
